processed,original
"گلاندام","گل اندام"
"سیدمسیب","سيد مسيب"
"سیدراستیننوری","سيد راستين نوري"
"سیدابوذر","سيدابوذر"
"ملحم","ملحم"
"خضیر","خضير"
"سیدعاشور","سيدعاشور"
"امیرصادق","اميرصادق"
"مانوشا","مانوشا"
"حارث","حارث"
"ملکناز","ملکناز"
"سمانهسادات","سمانه سادات"
"محمدمهدیار","محمدمهديار"
"عابس","عابس"
"غانم","غانم"
"مجبد","مجبد"
"مهران","مهران"
"سیدنصیرالدین","سيدنصيرالدين"
"سیدشروین","سيدشروين"
"زویا","زويا"
"محمدهاشم","محمدهاشم"
"سیدعبدالحی","سيدعبدالحي"
"سیدکاظم","سيدکاظم"
"ایدین","ايدين"
"علیمحمداحمد","علي محمد احمد"
"اسماالسادات","اسماالسادات"
"شیرکو","شيرکو"
"افر","افر"
"محمدایلیا","محمدايليا"
"آراسته","آراسته"
"نیمتاج","نيمتاج"
"گولیا","گوليا"
"مهرانعلی","مهران علي"
"تهمینهسادات","تهمينه سادات"
"سیدمحمدعلى","سيد محمد على"
"ودود","ودود"
"سیدعلیاصغر","سيد علي اصغر"
"دینا","دينا"
"علمدار","علم دار"
"آزاد","آزاد"
"بهفر","بهفر"
"ماهرعبدالرسولصادق","ماهر عبدالرسول صادق"
"سیداسحاق","سيداسحاق"
"روجا","روجا"
"ارینا","ارينا"
"گلستان","گلستان"
"کوشا","کوشا"
"سیدفضلاله","سيدفضل اله"
"علیداد","علي داد"
"سیدهکیمیا","سيده کيميا"
"سالک","سالک"
"شریف","شريف"
"شیلا","شيلا"
"شهیار","شه يار"
"محمدایمان","محمدايمان"
"امیرسعید","اميرسعيد"
"هلنا","هلنا"
"ملیکهسادات","مليکه سادات"
"سیدهمهشید","سيده مهشيد"
"قنبرعلی","قنبرعلي"
"وزیراحمد","وزير احمد"
"سیدسپهر","سيد سپهر"
"مهیا","مهيا"
"مسعوده","مسعوده"
"میرکامیار","ميرکاميار"
"ظاهرحسین","ظاهرحسين"
"الهرحم","اله رحم"
"ربیعالله","ربيع الله"
"وسی","وسي"
"شمسه","شمسه"
"ساراالسادات","ساراالسادات"
"بهناز","به ناز"
"سیدهنرگیس","سيده نرگيس"
"فرد","فرد"
"شکار","شکار"
"سیدهروجا","سيده روجا"
"سیدمحمدمهدی","سيدمحمدمهدي"
"نیروانا","نيروانا"
"سیدهدانا","سيده دانا"
"نازنینفاطمه","نازنين فاطمه"
"نیرهسادات","نيره سادات"
"عبدالستار","عبدالستار"
"كامله","كامله"
"بهلول","بهلول"
"شمسالسادات","شمس السادات"
"سیدامیرشایان","سيداميرشايان"
"ماهجین","ماه جين"
"رکساناسادات","رکساناسادات"
"نجفعلی","نجفعلي"
"یکتاسادات","يکتا سادات"
"نصیبه","نصيبه"
"آتنا","آتنا"
"سیدهكفایت","سيده كفايت"
"بهینا","بهينا"
"راز","راز"
"حمیدهسادات","حميده سادات"
"سیدمهبد","سيدمهبد"
"ولیاله","ولي‌اله"
"جاسم","جاسم"
"ایسان","ايسان"
"محمدجان","محمدجان"
"محمّدمیلاد","محمّد ميلاد"
"پریجهان","پري جهان"
"ایمانعلی","ايمانعلي"
"سیدهبهارک","سيده بهارک"
"لمیاء","لمياء"
"میرحمزه","ميرحمزه"
"عرفان","عرفان"
"سروگل","سروگل"
"کاشف","کاشف"
"آربی","آربي"
"حوا","حوا"
"سیدمحمدجواد","سيدمحمدجواد"
"سیدهگلاله","سيده گلاله"
"الیزا","اليزا"
"عزیزالله","عزيزالله"
"سیدشهابالدین","سيدشهاب الدين"
"سیدجهانشاه","سيدجهانشاه"
"مهگام","مهگام"
"سیدكریم","سيدكريم"
"حشمت","حشمت"
"ملكعلی","ملكعلي"
"شهرهسادات","شهره سادات"
"فایق","فايق"
"سیدهحسنا","سيده حسنا"
"مختار","مختار"
"نعیمهسادات","نعيمه سادات"
"ماهبانو","ماه بانو"
"فاتن","فاتن"
"امینرضا","امين رضا"
"تارخ","تارخ"
"سوسنبر","سوسن بر"
"عاطفهالسادات","عاطفه السادات"
"دختر","دختر"
"ازاده","ازاده"
"میرسینا","ميرسينا"
"ناهیدهسادات","ناهيده سادات"
"میریاسین","ميرياسين"
"گلندام","گلندام"
"جهانبخش","جهانبخش"
"شروق","شروق"
"رحمبیبی","رحم بي بي"
"نازبیگم","نازبيگم"
"حكیمه","حكيمه"
"سیدعبداله","سيد عبداله"
"سیدمهدییار","سيدمهدي يار"
"محمدریاضمحمدعلی","محمد رياض محمد علي"
"عبدیزدان","عبديزدان"
"كیانفر","كيانفر"
"میرمرتضی","ميرمرتضي"
"نیکناز","نيکناز"
"بهمن","بهمن"
"احسانیحیی","احسان يحيي"
"سیدعبدالمجید","سيدعبدالمجيد"
"سیدهطهورا","سيده طهورا"
"علینقی","علي نقي"
"وجیهالله","وجيه الله"
"هانیه","هانيه"
"نیکا","نيکا"
"محمدیار","محمديار"
"اصفعلی","اصف علي"
"حکمت","حکمت"
"سیدهپارمیس","سيده پارميس"
"فریناز","فري ناز"
"سیدرکنالدین","سيدرکن الدين"
"اریستا","اريستا"
"جنگی","جنگي"
"بایدو","بايدو"
"مهدیا","مهديا"
"شهرداد","شهرداد"
"محمدقلی","محمدقلي"
"ربیع","ربيع"
"ارسینه","ارسينه"
"حنیفحسین","حنيف حسين"
"محمدرئوف","محمدرئوف"
"براتاله","برات اله"
"گیتی","گيتي"
"فرنور","فرنور"
"محمدطاها","محمدطاها"
"الهیار","اله يار"
"هیفاء","هيفاء"
"نجوا","نجوا"
"سوریهء","سوريهء"
"علیرضا","علي‌رضا"
"همدم","همدم"
"سیدمیثم","سيدميثم"
"سیدسروش","سيدسروش"
"سیدهمنیره","سيده منيره"
"محبه","محبه"
"قائم","قائم"
"کرمعلی","کرمعلي"
"كیانوش","كيانوش"
"نوین","نوين"
"امانگلدی","امانگلدي"
"آوش","آوش"
"سیدهزبیده","سيده زبيده"
"خیری","خيري"
"برسام","برسام"
"سیدکمالالدین","سيد کمال الدين"
"ماجده","ماجده"
"وحیدةالسادات","وحيدةالسادات"
"پریساسادات","پريساسادات"
"سیدموید","سيدمويد"
"پشوتن","پشوتن"
"علیرضا","علير ضا"
"تهمینه","تهمينه"
"بیوك","بيوك"
"مالک","مالک"
"ناتاشا","ناتاشا"
"فیودیر","فيودير"
"سیدمحمدعماد","سيدمحمدعماد"
"میچکا","ميچکا"
"امیرسا","اميرسا"
"میرمهدی","ميرمهدي"
"مفید","مفيد"
"بهشید","بهشيد"
"گلدختسادات","گلدخت سادات"
"ژانت","ژانت"
"سیدصدرالدین","سيدصدرالدين"
"آفاق","آفاق"
"تاجسادات","تاج سادات"
"سیدشهباز","سيدشهباز"
"ناهیدسادات","ناهيدسادات"
"بختیار","بختيار"
"ادیب","اديب"
"روشنك","روشنك"
"حورای","حوراي"
"ربابهالسادات","ربابه السادات"
"رقیهسادات","رقيه سادات"
"عالیه","عاليه"
"ایمن","ايمن"
"سیدعبدالرحمن","سيدعبدالرحمن"
"نگار","نگار"
"فرئد","فرئد"
"سیدآریا","سيدآريا"
"تارا","تارا"
"سعدیه","سعديه"
"مهرگان","مهرگان"
"حانیهالسادات","حانيه السادات"
"معاونآموزشیوتحصیلاتتکم","معاون آموزشي وتحصيلات تکم"
"ناجیه","ناجيه"
"نیکسا","نيکسا"
"دشتی","دشتي"
"مروتعلی","مروتعلي"
"آتش","آتش"
"ماهرو","ماهرو"
"محمدشعیب","محمدشعيب"
"سیدهبهار","سيده بهار"
"محمدمحمود","محمدمحمود"
"سلوی","سلوي"
"ابوبکر","ابوبکر"
"امیرخسرو","اميرخسرو"
"بهنود","بهنود"
"اناسیک","اناسيک"
"حوریسا","حوريسا"
"خوبیار","خوبيار"
"احسانعلی","احسانعلي"
"جهانبخش","جهان بخش"
"سعود","سعود"
"حانیهسادات","حانيه سادات"
"ترانهسادات","ترانه سادات"
"ایلیار","ايليار"
"پدارم","پدارم"
"کامیاد","کامياد"
"هدا","هدا"
"ایناس","ايناس"
"نجفقلی","نجفقلي"
"فریده","فريده"
"پوپه","پوپه"
"محمدمصباح","محمد مصباح"
"ساجدهزهرا","ساجده زهرا"
"محمدمقداد","محمدمقداد"
"سیدمحمدصادق","سيدمحمد صادق"
"کاترین","کاترين"
"سیدهنادیا","سيده ناديا"
"شمسالضحی","شمس الضحي"
"نائیری","نائيري"
"ارپی","ارپي"
"ماندگار","ماندگار"
"سیندخت","سيندخت"
"جیسیک","جيسيک"
"اسیهسادات","اسيه سادات"
"محمدشهاب","محمدشهاب"
"اشگان","اشگان"
"خدیجهبیگم","خديجه بيگم"
"گلجان","گل جان"
"سیدجهانشاه","سيد جهانشاه"
"میراللهیار","ميرالله يار"
"سیدهپریسیما","سيده پري سيما"
"محمداظهر","محمداظهر"
"ملكان","ملكان"
"توماس","توماس"
"زاهد","زاهد"
"سیدپویان","سيدپويان"
"ژیلا","ژيلا"
"امالبنین","ام البنين"
"سیدهآفاق","سيده آفاق"
"كوثرسادات","كوثرسادات"
"نجف","نجف"
"ادهم","ادهم"
"حجتالله","حجت الله"
"سیدهرویا","سيده رويا"
"محنا","محنا"
"محمدجاوید","محمدجاويد"
"حوراء","حوراء"
"آبتین","آبتين"
"نظر","نظر"
"اعظمسادات","اعظم سادات"
"کریستیان","کريستيان"
"پرنیانسادات","پرنيان سادات"
"سمیندخت","سمين دخت"
"سیدحمیدرضا","سيد حميدرضا"
"سیدجاسم","سيدجاسم"
"نعیمالدین","نعيم الدين"
"سیدهمولود","سيده مولود"
"قمرتاج","قمرتاج"
"قدرتالله","قدرت الله"
"شمسالزمان","شمس الزمان"
"مرجانسادات","مرجان سادات"
"فربیا","فربيا"
"مهنا","مهنا"
"شقایقالسادات","شقايق السادات"
"ابراهیم","ابراهيم"
"فاطمهحسنا","فاطمه حسنا"
"طه","طه"
"محمدپویان","محمدپويان"
"كوكببانو","كوكب بانو"
"سیدمنصور","سيدمنصور"
"معصومهبیگم","معصومه بيگم"
"عبدالحنان","عبدالحنان"
"رسام","رسام"
"میناس","ميناس"
"زمرد","زمرد"
"سامیار","ساميار"
"گلچهر","گلچهر"
"صبا","صبا"
"فرحناز","فرحناز"
"سیدعطاالله","سيدعطاالله"
"آلاء","آلاء"
"حکیمه","حکيمه"
"فرینوش","فرينوش"
"شعیبشعبان","شعيب شعبان"
"رزمین","رزمين"
"قمرالسادات","قمرالسادات"
"طراوت","طراوت"
"بکتاش","بکتاش"
"وجیههسادات","وجيهه سادات"
"سیدنامی","سيدنامي"
"استفان","استفان"
"فتی","فتي"
"سیدپیمان","سيد پيمان"
"منظره","منظره"
"سلیم","سليم"
"اریان","اريان"
"نازنینكوثر","نازنين كوثر"
"آرمین","آرمين"
"نادرهسادات","نادره سادات"
"مایدهسادات","مايده سادات"
"فضیله","فضيله"
"محمداحسان","محمد احسان"
"ظفر","ظفر"
"شهران","شهران"
"سیدهیگانه","سيده يگانه"
"سیدعطا","سيدعطا"
"احمدجاوید","احمد جاويد"
"اعظمالسادات","اعظم السادات"
"نپتون","نپتون"
"الیکا","اليکا"
"سیدمهدی","سيدمهدي"
"روبین","روبين"
"اترینا","اترينا"
